tablet_a,tablet_b,designation_a,designation_b,ruler,regnal_year,month,day,total_animals,tx_a,tx_b,source_match,receiver_match,anchors_matched,match_strength
109695,124185,Hirose 224,"OIP 121, 455",Amar-Suen,6,2,29,1,receipt,receipt,0,1,date|quantity|receiver,3
109711,320979,Hirose 240,"Nisaba 08, 348",Amar-Suen,6,10,27,1,receipt,receipt,0,1,date|quantity|receiver,3
109742,116853,Hirose 271,"MVN 13, 081",Amar-Suen,7,11,11,1,receipt,receipt,0,1,date|quantity|receiver,3
111982,303409,"JCS 23, 113 24","BPOA 07, 2645",Amar-Suen,5,3,2,30,transfer,transfer,1,0,date|quantity|source,3
112270,116830,"JEOL 26, 49 07","MVN 13, 058",Šulgi,47,5,23,1,receipt,receipt,0,1,date|quantity|receiver,3
112327,405504,"JMEOS 12, 45 3507","Orient 16, 050 40",Šū-Suen,2,9,15,3,expenditure,expenditure,1,0,date|quantity|source,3
113467,332365,"MVN 02, 168","Nisaba 30, 36",Amar-Suen,5,11,22,110,transfer,transfer,1,0,date|quantity|source,3
114324,143685,"MVN 05, 104","SAT 2, 0485",Šulgi,46,9,15,1,delivery,delivery,1,0,date|quantity|source,3
115418,116837,"MVN 08, 027","MVN 13, 065",Amar-Suen,1,10,18,3,transfer,receipt,0,1,date|quantity|receiver,3
115424,134860,"MVN 08, 033",TRU 096,Amar-Suen,2,2,11,10,transfer,transfer,1,0,date|quantity|source,3
115440,499217,"MVN 08, 049",01.IS.67,Amar-Suen,4,9,15,3,transfer,expenditure,1,0,date|quantity|source,3
115463,407576,"MVN 08, 072","HSS 68, 605",Amar-Suen,6,11,13,1,transfer,transfer,1,0,date|quantity|source,3
115985,320671,"MVN 10, 218","Nisaba 08, 227",Amar-Suen,6,10,12,8,receipt,receipt,0,1,date|quantity|receiver,3
117156,126454,"MVN 13, 384","PDT 2, 1119",Šū-Suen,1,12,10,10,transfer,expenditure,1,0,date|quantity|source,3
117172,201107,"MVN 13, 400","Princeton 2, 109",Šū-Suen,1,5,25,3,expenditure,expenditure,1,0,date|quantity|source,3
118392,123325,"MVN 15, 112","OIP 115, 307",Šulgi,46,4,13,1,receipt,receipt,0,1,date|quantity|receiver,3
122191,499192,"Nik 2, 508",01.IS.42,Amar-Suen,5,10,11,1,transfer,expenditure,1,0,date|quantity|source,3
122659,128828,NYPL 123,"SACT 1, 073",Šulgi,46,4,17,4,expenditure,receipt,1,0,date|quantity|source,3
122767,125852,NYPL 229,"PDT 1, 0436",Amar-Suen,8,1,18,30,expenditure,expenditure,1,0,date|quantity|source,3
123906,406830,"OIP 121, 176","HSS 68, 064",Amar-Suen,5,1,30,1,transfer,transfer,1,0,date|quantity|source,3
124064,407944,"OIP 121, 334","HSS 68, 659",Amar-Suen,6,9,1,3,transfer,transfer,1,0,date|quantity|source,3
124262,389882,"OIP 121, 532",LB 2263,Amar-Suen,9,11,3,1,expenditure,expenditure,1,0,date|quantity|source,3
124264,126451,"OIP 121, 534","PDT 2, 1116",Amar-Suen,6,6,24,1,receipt,receipt,0,1,date|quantity|receiver,3
124971,124972,"OrSP 47-49, 083","OrSP 47-49, 084",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
124971,124973,"OrSP 47-49, 083","OrSP 47-49, 085",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
124971,124974,"OrSP 47-49, 083","OrSP 47-49, 086",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
124971,131673,"OrSP 47-49, 083","TCL 02, 5584",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
124972,124973,"OrSP 47-49, 084","OrSP 47-49, 085",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
124972,124974,"OrSP 47-49, 084","OrSP 47-49, 086",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
124972,131673,"OrSP 47-49, 084","TCL 02, 5584",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
124973,124974,"OrSP 47-49, 085","OrSP 47-49, 086",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
124973,131673,"OrSP 47-49, 085","TCL 02, 5584",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
124974,131673,"OrSP 47-49, 086","TCL 02, 5584",Amar-Suen,4,12,29,10,transfer,transfer,1,0,date|quantity|source,3
124981,134828,"OrSP 47-49, 092",TRU 064,Amar-Suen,6,8,13,1,transfer,transfer,1,0,date|quantity|source,3
124989,129745,"OrSP 47-49, 100",SCT 006,Amar-Suen,6,12,24,7,transfer,transfer,1,0,date|quantity|source,3
124998,234954,"OrSP 47-49, 109",KM 89174,Amar-Suen,7,8,7,2,transfer,transfer,1,0,date|quantity|source,3
125422,127497,"PDT 1, 0006","RA 009, 050 SA 161",Amar-Suen,6,11,22,1,receipt,receipt,0,1,date|quantity|receiver,3
125464,390251,"PDT 1, 0048",LB 3190,Amar-Suen,5,2,5,2,transfer,transfer,1,0,date|quantity|source,3
125488,431294,"PDT 1, 0072",Anonymous 431294,Amar-Suen,5,4,18,2,transfer,transfer,1,0,date|quantity|source,3
125532,235928,"PDT 1, 0116",HS 2292,Amar-Suen,5,11,15,68,transfer,transfer,1,0,date|quantity|source,3
125542,133882,"PDT 1, 0125",TCND 138,Amar-Suen,5,8,19,1,expenditure,transfer,1,0,date|quantity|source,3
125560,406831,"PDT 1, 0143","HSS 68, 065",Amar-Suen,5,6,12,1,expenditure,transfer,1,0,date|quantity|source,3
125567,126249,"PDT 1, 0150","PDT 2, 0889",Amar-Suen,3,11,29,10,transfer,transfer,1,0,date|quantity|source,3
125595,144260,"PDT 1, 0178","SAT 2, 1060",Amar-Suen,7,5,9,1,transfer,transfer,1,0,date|quantity|source,3
125618,320532,"PDT 1, 0202","Nisaba 08, 113",Amar-Suen,6,5,22,16,transfer,transfer,1,0,date|quantity|source,3
125626,407593,"PDT 1, 0210","HSS 68, 622",Amar-Suen,8,9,11,30,transfer,transfer,1,0,date|quantity|source,3
126066,131668,"PDT 1, 0650","TCL 02, 5579",Amar-Suen,8,1,9,5,transfer,expenditure,1,0,date|quantity|source,3
126072,407565,"PDT 1, 0656","HSS 68, 594",Amar-Suen,8,4,14,8,transfer,transfer,1,0,date|quantity|source,3
126096,303411,"PDT 1, 0680","BPOA 07, 2647",Šū-Suen,3,7,10,1,transfer,expenditure,1,0,date|quantity|source,3
126186,210631,"PDT 2, 0823","BPOA 06, 0867",Amar-Suen,4,4,11,2,transfer,transfer,1,0,date|quantity|source,3
126200,132024,"PDT 2, 0838",Tavolette 238,Amar-Suen,3,1,15,1,transfer,transfer,1,0,date|quantity|source,3
126205,330674,"PDT 2, 0844","AAICAB 1/4, TCICA 22",Amar-Suen,7,1,11,6,transfer,transfer,1,0,date|quantity|source,3
126210,134722,"PDT 2, 0849",Trouvaille 49,Amar-Suen,4,8,6,3,transfer,transfer,1,0,date|quantity|source,3
126460,407069,"PDT 2, 1125","HSS 68, 173",Amar-Suen,2,4,16,13,transfer,transfer,1,0,date|quantity|source,3
126519,452225,"PDT 2, 1185",Davidson 08,Amar-Suen,2,3,26,2,transfer,transfer,0,1,date|quantity|receiver,3
126553,467617,"PDT 2, 1223","OrNS 81, 288 09",Amar-Suen,8,1,9,200,transfer,transfer,1,0,date|quantity|source,3
126614,131729,"PDT 2, 1289","TCL 02, 5640",Amar-Suen,4,10,1,1,transfer,transfer,1,0,date|quantity|source,3
126614,134692,"PDT 2, 1289",Trouvaille 19,Amar-Suen,4,10,1,1,transfer,expenditure,1,0,date|quantity|source,3
126777,145558,"Princeton 1, 088",Ripon 2,Amar-Suen,4,1,29,3,expenditure,expenditure,1,0,date|quantity|source,3
127451,134825,"RA 009, 049 SA 117",TRU 061,Amar-Suen,4,4,25,3,transfer,transfer,1,0,date|quantity|source,3
127467,133870,"RA 009, 049 SA 133",TCND 104,Amar-Suen,5,1,11,6,transfer,transfer,1,0,date|quantity|source,3
127499,390920,"RA 009, 050 SA 163 (pl. 4)","BPOA 06, 0727",Amar-Suen,6,5,23,4,expenditure,receipt,1,0,date|quantity|source,3
